s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/980432,http://rdf.geohistoricaldata.org/def/directory#numEntry,236467
http://rdf.geohistoricaldata.org/id/directories/entry/980433,http://rdf.geohistoricaldata.org/def/directory#numEntry,237152
http://rdf.geohistoricaldata.org/id/directories/entry/980434,http://rdf.geohistoricaldata.org/def/directory#numEntry,237181
http://rdf.geohistoricaldata.org/id/directories/entry/980435,http://rdf.geohistoricaldata.org/def/directory#numEntry,238827
http://rdf.geohistoricaldata.org/id/directories/entry/980436,http://rdf.geohistoricaldata.org/def/directory#numEntry,242133
http://rdf.geohistoricaldata.org/id/directories/entry/980437,http://rdf.geohistoricaldata.org/def/directory#numEntry,243590
http://rdf.geohistoricaldata.org/id/directories/entry/980438,http://rdf.geohistoricaldata.org/def/directory#numEntry,244379
http://rdf.geohistoricaldata.org/id/directories/entry/980439,http://rdf.geohistoricaldata.org/def/directory#numEntry,244643
http://rdf.geohistoricaldata.org/id/directories/entry/980440,http://rdf.geohistoricaldata.org/def/directory#numEntry,245035
http://rdf.geohistoricaldata.org/id/directories/entry/980441,http://rdf.geohistoricaldata.org/def/directory#numEntry,245035
http://rdf.geohistoricaldata.org/id/directories/entry/980442,http://rdf.geohistoricaldata.org/def/directory#numEntry,245596
http://rdf.geohistoricaldata.org/id/directories/entry/980443,http://rdf.geohistoricaldata.org/def/directory#numEntry,246440
http://rdf.geohistoricaldata.org/id/directories/entry/980444,http://rdf.geohistoricaldata.org/def/directory#numEntry,246821
http://rdf.geohistoricaldata.org/id/directories/entry/980445,http://rdf.geohistoricaldata.org/def/directory#numEntry,251844
http://rdf.geohistoricaldata.org/id/directories/entry/980446,http://rdf.geohistoricaldata.org/def/directory#numEntry,252817
http://rdf.geohistoricaldata.org/id/directories/entry/980447,http://rdf.geohistoricaldata.org/def/directory#numEntry,258002
http://rdf.geohistoricaldata.org/id/directories/entry/980448,http://rdf.geohistoricaldata.org/def/directory#numEntry,258220
http://rdf.geohistoricaldata.org/id/directories/entry/980449,http://rdf.geohistoricaldata.org/def/directory#numEntry,260653
http://rdf.geohistoricaldata.org/id/directories/entry/980450,http://rdf.geohistoricaldata.org/def/directory#numEntry,261309
http://rdf.geohistoricaldata.org/id/directories/entry/980451,http://rdf.geohistoricaldata.org/def/directory#numEntry,261310
http://rdf.geohistoricaldata.org/id/directories/entry/980452,http://rdf.geohistoricaldata.org/def/directory#numEntry,261688
http://rdf.geohistoricaldata.org/id/directories/entry/980453,http://rdf.geohistoricaldata.org/def/directory#numEntry,261712
http://rdf.geohistoricaldata.org/id/directories/entry/980454,http://rdf.geohistoricaldata.org/def/directory#numEntry,261713
http://rdf.geohistoricaldata.org/id/directories/entry/980455,http://rdf.geohistoricaldata.org/def/directory#numEntry,264756
http://rdf.geohistoricaldata.org/id/directories/entry/980456,http://rdf.geohistoricaldata.org/def/directory#numEntry,266654
